Logistic Regression,Random Forest,Gradient Boosting (GBM),SVM,KNN,Setting,Dataset
0.4954545454545454,0.48833333333333334,0.4587878787878788,0.4784848484848484,0.5142424242424243,W/o High,flow.csv
0.5439068100358423,0.5395758661887694,0.5131421744324971,0.46535244922341695,0.5267323775388291,W/o High,hedera.csv
0.4715151515151515,0.5451515151515152,0.49727272727272726,0.4254545454545454,0.49257575757575756,W/o High,immutable.csv
0.5312214438014011,0.5283277490100518,0.5150776728601888,0.4674078586658544,0.5036551934206518,W/o High,injective.csv
0.4846497764530551,0.43099850968703424,0.4429210134128167,0.49776453055141584,0.4885245901639344,W/o High,internet_computer.csv
0.5996640537513998,0.5274356103023516,0.5291153415453527,0.4540873460246361,0.48824188129899215,W/o High,kaspa.csv
0.490442054958184,0.5421146953405018,0.4879032258064516,0.5180704898446834,0.43996415770609326,W/o High,lido.csv
0.5379125780553078,0.42908117752007136,0.47695509961344046,0.45584299732381806,0.5316681534344336,W/o High,litecoin.csv
0.568733153638814,0.5055405810122791,0.5534591194968554,0.44354597184785866,0.5723270440251572,W/o High,maker.csv
0.5257477644156645,0.5226641998149861,0.4785692260252852,0.5232809127351218,0.4833487511563367,W/o High,near.csv
0.46922348484848486,0.47490530303030304,0.5203598484848485,0.5724431818181818,0.5130208333333334,W/o High,optimism.csv
0.9393939393939394,0.9015151515151515,0.3787878787878788,0.4393939393939394,0.7045454545454545,W/o High,pepe.csv
0.4992512728361785,0.49460916442048514,0.5265049415992813,0.4588200059898173,0.46451033243486073,W/o High,polkadot.csv
0.5336538461538461,0.5791766826923077,0.5677584134615384,0.536358173076923,0.53125,W/o High,polygon.csv
0.38793363499245853,0.467420814479638,0.40995475113122176,0.48401206636500754,0.4438914027149321,W/o High,render.csv
0.5624438454627134,0.47124887690925427,0.5831087151841868,0.5603474094040132,0.5720275531596286,W/o High,sandbox.csv
0.7075471698113207,0.6391509433962264,0.5160377358490567,0.44056603773584907,0.5367924528301887,W/o High,shiba_inu.csv
0.5218040621266428,0.5268817204301076,0.527479091995221,0.4752090800477898,0.5531660692951015,W/o High,solana.csv
0.5053571428571428,0.45654761904761904,0.5098214285714286,0.5297619047619048,0.4772321428571429,W/o High,stacks.csv
0.5539696699375557,0.5515908415105562,0.5252750520368719,0.5060957478441868,0.5322628605411834,W/o High,stellar.csv
0.7287581699346405,0.6290849673202614,0.6535947712418302,0.36601307189542487,0.607843137254902,W/o High,sui.csv
0.5785714285714285,0.6561011904761905,0.6395833333333333,0.6599702380952381,0.46116071428571426,W/o High,tether.csv
0.500909090909091,0.5809090909090909,0.576060606060606,0.4833333333333333,0.5345454545454545,W/o High,tezos.csv
0.4970131421744325,0.5194145758661888,0.48805256869772995,0.4795400238948626,0.46624850657108724,W/o High,theta.csv
0.775,0.6791666666666667,0.7333333333333334,0.19999999999999998,0.6708333333333334,W/o High,the_graph.csv
0.5176925364258103,0.5010407374368123,0.5935176925364258,0.5090692833779363,0.4757656853999406,W/o High,toncoin.csv
0.5989583333333334,0.49892769607843135,0.5128676470588236,0.45557598039215685,0.5566789215686275,W/o High,tron.csv
0.5013380909901873,0.5423728813559322,0.5176925364258104,0.5272078501338091,0.4818614332441272,W/o High,uniswap.csv
0.4462413896376161,0.7313566936208445,0.7020065887990417,0.46600778676250376,0.3999700509134472,W/o High,usd_coin.csv
0.4176682692307693,0.4612379807692308,0.5078125,0.5339543269230769,0.4822716346153846,W/o High,vechain.csv
0.44642857142857145,0.4842261904761905,0.5130952380952382,0.4755952380952381,0.546875,W/o High,xrp.csv
0.4846497764530551,0.5019374068554396,0.4697466467958271,0.424441132637854,0.5603576751117734,W/o Low,aave.csv
0.47702744372494604,0.6006783842121493,0.5158803576934937,0.4921369102682701,0.4870490286771508,W/o Low,algorand.csv
0.5826001955034212,0.5977517106549364,0.47996089931573804,0.5087976539589443,0.6143695014662757,W/o Low,aptos.csv
0.6593406593406593,0.5837912087912088,0.5357142857142857,0.47115384615384615,0.5604395604395604,W/o Low,arbitrum.csv
0.4195075757575758,0.5410353535353535,0.5321969696969697,0.4277146464646464,0.4829545454545454,W/o Low,avalanche.csv
0.47738095238095235,0.5053571428571428,0.574702380952381,0.5083333333333334,0.5127976190476191,W/o Low,axie_infinity.csv
0.4606370192307693,0.5339543269230769,0.5309495192307693,0.48768028846153844,0.47896634615384615,W/o Low,binance_coin.csv
0.46110283159463494,0.46318926974664676,0.4846497764530552,0.5281669150521608,0.46095380029806265,W/o Low,bitcoin.csv
0.5637823371989295,0.4597085935176925,0.4930121914956884,0.4983645554564377,0.45703241153731794,W/o Low,bitcoin_cash.csv
